Jurisdiction of Occurrence,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),COVID-19 
New York,2009,20,399,64,44,45,85,49,40,39,502,76,222
New York,2033,23,396,52,39,37,86,40,35,36,474,85,243
New York,2049,35,385,61,35,48,105,42,35,45,501,88,236
New York,2060,25,394,60,50,46,106,39,33,52,483,71,232
New York,2199,25,421,64,49,50,84,54,29,42,525,90,222
New York,2177,37,415,53,63,61,111,55,32,35,498,96,222
New York,2280,36,422,62,63,46,85,56,30,47,552,97,276
New York,2292,30,410,62,46,50,101,53,45,46,501,97,362
New York,2411,20,413,80,36,56,82,51,40,48,573,90,423
New York,2303,25,397,59,43,50,102,50,29,45,511,85,413
New York,2389,32,401,67,47,54,95,51,33,46,590,97,435
New York,2485,28,431,64,55,50,88,35,49,53,542,101,483
New York,2605,37,425,74,36,54,100,42,47,23,545,103,639
New York,2782,38,414,74,65,63,106,51,39,34,608,91,729
New York,2767,23,439,89,43,58,83,48,53,26,606,98,766
New York,2596,25,374,74,54,49,95,48,45,39,593,92,666
New York,2505,31,423,64,53,52,97,54,43,32,555,100,547
New York,2277,28,381,57,60,50,93,47,47,19,546,91,400
New York,2077,32,364,60,43,42,76,46,34,30,500,74,295
New York,1939,25,391,46,50,34,80,48,25,25,498,78,190
New York,1948,26,404,53,42,48,72,54,40,29,514,100,165
New York,1994,36,425,67,35,37,86,45,46,28,508,89,126
New York,1825,19,393,66,37,40,64,46,44,26,471,75,80
New York,1832,27,417,52,52,32,85,50,35,28,461,84,72
New York,1836,31,401,53,30,44,97,46,35,21,469,102,70
New York,1901,17,430,47,41,39,88,43,29,27,520,79,64
New York,1784,28,396,50,41,50,83,47,35,24,478,87,53
New York,1795,25,383,52,37,35,101,51,34,27,450,93,86
New York,1906,28,419,63,36,43,101,57,36,31,471,72,114
New York,1909,27,391,60,49,58,95,51,32,45,471,88,123
New York,2062,28,428,62,46,47,90,56,33,38,519,94,176
New York,1813,26,391,53,50,43,82,40,38,19,449,80,138
New York,1841,20,411,58,40,45,85,44,25,24,467,72,134
New York,1773,19,368,59,27,40,76,49,34,34,468,93,118
New York,1755,20,403,51,34,22,87,54,32,31,465,71,94
New York,1798,32,394,51,41,32,91,49,22,31,465,69,86
New York,1804,29,353,56,25,47,79,47,30,38,493,76,77
New York,1824,26,420,56,46,34,93,43,26,49,477,79,78
New York,1695,30,411,51,32,35,82,49,22,27,417,66,68
New York,1814,26,435,43,42,50,85,40,36,34,423,79,76
New York,1804,37,419,42,40,39,78,42,29,39,497,65,95
New York,1813,24,409,56,38,40,78,38,40,36,463,71,110
New York,1789,24,426,43,46,37,76,41,35,29,477,65,97
New York,1816,30,429,40,39,39,71,39,35,38,475,66,94
New York,1862,31,426,53,43,35,78,46,27,38,462,91,90
New York,1745,26,379,42,36,36,62,49,31,33,489,76,89
New York,1757,19,418,63,37,30,76,31,27,43,447,70,96
New York,1771,30,425,72,34,32,80,27,30,38,439,57,107
New York,1829,21,405,51,36,40,76,49,40,44,484,74,90
New York,1811,29,401,41,29,44,68,54,26,27,465,62,89
New York,1908,29,389,59,46,43,81,58,39,38,495,87,105
New York,1918,21,406,56,27,37,88,53,35,43,483,71,118
New York,1978,27,402,58,50,47,85,49,37,50,497,83,123
New York,1976,42,402,52,46,46,99,47,26,63,491,86,148
New York,1958,30,389,60,53,46,79,64,37,67,486,94,121
New York,2012,38,418,50,36,36,91,52,39,69,521,76,142
New York,1928,20,410,52,51,34,93,41,37,60,484,82,120
New York,2028,23,415,62,55,43,98,53,36,68,506,93,114
New York,2185,26,450,60,37,64,82,53,29,95,578,81,127
New York,2137,32,417,64,47,78,103,40,33,62,570,93,113
New York,2173,29,400,60,36,71,125,52,40,62,544,65,129
New York,2265,28,458,65,51,79,123,57,43,63,538,94,142
New York,2324,32,424,69,64,94,104,51,49,68,596,90,155
New York,2277,28,390,75,44,98,110,56,33,81,574,83,166
New York,2290,39,418,65,52,93,104,60,48,93,508,114,156
New York,2192,41,415,56,43,77,106,55,31,83,509,81,167
New York,2131,34,436,61,41,66,100,59,35,105,528,94,120
New York,2118,41,438,66,49,77,78,61,36,109,515,88,126
New York,2047,25,415,59,32,56,93,66,43,98,496,83,117
New York,2031,34,374,57,41,58,103,66,35,102,491,96,109
New York,2003,21,383,46,45,53,85,38,36,137,514,79,99
New York,2004,27,384,64,47,44,96,47,47,104,494,88,101
New York,2040,28,391,54,46,50,100,52,33,143,516,76,95
New York,1936,25,402,44,44,35,95,55,34,128,486,87,85
New York,1930,31,417,53,48,43,100,55,33,120,440,75,79
New York,1921,33,407,48,48,47,67,43,28,133,445,95,67
New York,1771,23,372,57,52,38,91,42,36,121,433,67,61
New York City,1067,,240,39,28,57,40,16,14,,396,26,0
New York City,1084,15,221,49,18,49,40,10,16,23,375,47,0
New York City,1057,10,236,28,15,57,35,12,17,12,351,45,0
New York City,1104,14,258,46,25,58,28,14,16,21,379,38,0
New York City,1085,,287,32,27,55,34,19,10,,353,35,0
New York City,1086,16,228,42,21,60,45,14,18,,367,52,0
New York City,1063,,252,42,22,46,32,10,,,374,42,0
New York City,1025,11,250,31,23,35,39,11,14,12,347,42,0
New York City,1027,10,227,34,22,35,48,14,12,11,339,54,0
New York City,1045,12,244,43,13,43,28,,,11,355,40,0
New York City,1059,14,230,36,22,47,32,,14,17,384,42,
New York City,1343,11,262,60,25,62,37,13,15,13,425,52,125
New York City,2725,14,265,86,38,122,78,27,21,28,745,54,982
New York City,6217,23,259,183,59,217,126,53,33,34,1480,71,3320
New York City,7786,10,252,163,55,163,106,59,28,45,1718,84,4867
New York City,5828,10,189,88,41,51,72,41,16,36,1152,60,3912
New York City,3975,,202,59,27,51,34,22,13,38,701,38,2624
New York City,2765,,179,32,22,49,30,23,,20,507,46,1724
New York City,1987,,195,34,18,40,26,18,11,20,403,34,1051
New York City,1529,14,190,32,12,30,28,,10,16,384,40,618
New York City,1217,,207,23,17,26,26,18,10,18,301,30,417
New York City,1078,,207,25,10,19,21,10,,12,311,31,284
New York City,1017,13,194,26,18,17,29,,,14,320,30,196
New York City,1014,20,219,26,24,31,24,10,,12,302,42,141
New York City,922,16,193,27,15,30,23,,17,,322,27,90
New York City,983,15,207,30,15,20,26,,,14,353,35,75
New York City,908,,227,31,18,26,20,12,10,16,307,36,53
New York City,921,15,206,39,18,27,24,,,15,322,38,43
New York City,887,,217,38,15,17,32,,,16,282,30,53
New York City,922,10,220,38,12,19,29,,,22,302,36,46
New York City,885,13,209,21,11,30,27,12,10,15,303,36,35
New York City,876,12,186,27,12,24,23,,,15,315,50,24
New York City,904,20,213,21,13,23,31,19,12,16,277,40,29
New York City,889,13,243,32,15,26,25,11,11,16,253,33,24
New York City,915,14,217,31,14,16,17,11,16,14,273,32,19
New York City,873,16,223,38,13,34,29,13,15,14,257,36,23
New York City,865,,208,27,18,20,25,13,12,14,275,40,18
New York City,920,10,238,27,12,27,22,19,13,11,269,35,26
New York City,904,12,199,41,26,32,27,15,,13,283,39,20
New York City,879,17,192,31,18,19,32,10,,15,266,41,35
New York City,937,,224,35,21,18,26,14,17,16,288,42,24
New York City,957,,252,30,16,20,25,12,23,13,294,33,40
New York City,930,12,225,29,20,26,24,,16,,260,46,28
New York City,976,11,234,46,22,27,27,,12,13,303,38,41
New York City,1052,13,221,35,26,29,29,13,15,11,340,43,70
New York City,1000,,235,43,22,24,23,16,,12,289,34,55
New York City,1021,16,228,49,23,23,25,18,17,11,310,38,68
New York City,989,10,224,36,24,26,34,12,21,,259,46,74
New York City,1078,10,224,39,19,21,27,14,16,16,328,52,133
New York City,1143,13,211,39,26,36,36,12,10,25,333,46,171
New York City,1266,15,244,53,21,23,32,18,,21,361,42,224
New York City,1341,18,211,36,21,38,24,23,,31,393,57,267
New York City,1306,12,207,37,35,37,31,12,,23,356,40,297
New York City,1395,17,218,35,29,37,39,23,11,10,356,49,377
New York City,1381,16,233,49,21,31,27,,19,13,337,49,410
New York City,1496,11,213,38,27,35,29,18,14,10,350,37,494
New York City,1513,16,214,48,24,30,29,14,12,14,386,39,516
New York City,1456,15,183,36,36,26,25,15,17,10,359,46,495
New York City,1536,,254,48,24,29,31,,17,18,353,48,512
New York City,1463,15,192,55,25,39,31,,,15,348,53,466
New York City,1456,23,204,30,20,29,31,14,10,16,385,32,462
New York City,1349,10,214,47,24,46,30,11,,,366,43,385
New York City,1315,14,208,27,31,32,24,18,18,14,311,36,403
New York City,1280,14,210,40,27,36,33,13,14,16,341,45,294
New York City,1343,,236,29,31,34,28,15,18,20,326,39,347
New York City,1284,17,214,32,18,28,21,14,17,25,308,42,346
New York City,1224,14,196,36,23,33,29,14,17,16,316,49,307
New York City,1095,10,182,33,24,23,33,10,12,19,297,44,241
New York City,1151,16,226,27,16,32,26,14,,13,324,38,232
New York City,1074,13,213,36,16,28,26,,10,,302,43,188
New York City,1034,14,212,31,25,23,19,,14,,300,37,168
New York City,1065,13,221,42,24,25,20,13,,15,306,39,142
New York City,1032,23,231,19,15,21,30,19,15,12,319,40,85
New York City,898,19,200,26,20,27,20,10,,16,277,44,57
New York City,948,14,219,35,12,25,23,16,18,20,310,33,47
New York City,866,18,216,22,17,31,31,10,,,275,29,33
New York City,943,18,219,33,21,29,25,19,16,15,277,39,47
New York City,919,15,211,26,16,15,18,12,12,,311,48,26
New York City,946,23,216,28,18,27,40,10,11,13,298,42,27
New York City,902,24,202,27,11,35,23,14,16,14,291,41,13
New York City,903,12,240,22,20,34,22,14,,12,260,32,25
New York City,853,17,202,24,16,30,27,,12,,255,37,22
New York City,908,21,238,21,16,31,29,15,,15,260,38,30
New York City,990,18,265,26,20,23,22,10,12,13,290,54,50
New York City,939,19,219,36,14,21,24,13,14,12,278,33,57
New York City,1011,15,224,24,24,28,27,14,20,12,324,47,67
New York City,1003,18,220,25,14,37,20,12,10,11,329,29,72
New York City,1001,17,231,27,23,24,24,10,15,11,318,40,86
New York City,1043,19,212,32,21,36,27,17,14,20,317,48,102
New York City,966,17,211,25,19,38,24,13,12,21,262,44,73
New York City,1028,13,221,31,19,24,25,10,14,10,324,38,93
New York City,1043,18,234,41,15,34,28,10,12,15,302,44,85
New York City,1000,21,232,27,20,28,18,12,16,11,278,40,84
New York City,980,18,235,39,19,30,23,16,15,14,290,32,59
New York City,1000,12,259,28,19,22,29,19,12,13,305,39,62
New York City,1036,14,248,38,19,37,27,18,12,12,323,41,56
New York City,1058,16,239,36,18,37,26,13,12,17,344,39,53
New York City,1065,,230,33,26,32,37,16,15,18,353,34,54
New York City,1029,16,200,35,23,28,23,19,15,23,315,44,56
New York City,1045,16,226,33,22,37,28,13,11,24,341,40,63
New York City,1073,20,248,31,27,40,27,12,14,21,302,51,65
New York City,1033,18,236,28,20,41,24,12,10,19,328,37,63
New York City,1139,24,212,31,21,27,28,14,16,26,354,48,102
New York City,1221,17,240,43,27,50,29,13,17,22,347,37,164
New York City,1397,22,255,43,40,42,35,12,16,30,398,50,267
New York City,1631,23,200,39,26,40,34,19,,26,489,41,521
New York City,1911,16,220,46,37,35,27,30,19,21,511,62,731
New York City,1677,11,205,43,21,44,31,14,17,30,411,54,648
New York City,1556,16,225,30,24,38,36,15,19,26,374,48,578
New York City,1388,25,233,49,25,37,34,14,22,13,368,38,391
New York City,1251,17,245,36,25,33,26,15,,15,366,54,229
New York City,1129,15,221,36,23,32,27,10,10,16,355,45,180
New York City,977,18,218,21,12,28,26,13,15,,302,36,93
New York City,1007,14,206,33,27,30,21,20,14,13,313,48,79
New York City,933,13,215,27,20,32,26,19,12,16,294,47,50
New York City,1007,21,217,40,11,30,26,15,11,22,334,42,42
New York City,914,18,191,29,12,23,22,10,15,14,322,45,37
New York City,937,12,228,35,12,22,24,19,,14,316,44,27
New York City,906,18,194,28,18,34,27,12,20,,313,41,26
New York City,917,18,214,34,21,38,27,15,15,13,279,40,32
New York City,874,12,212,27,19,15,23,12,12,19,263,40,27
New York City,916,18,211,28,16,23,26,,14,15,291,46,23
New York City,921,15,209,30,19,19,29,18,11,20,302,42,27
New York City,946,13,226,35,15,34,20,,12,15,300,32,43
New York City,947,23,229,33,19,23,26,17,13,17,298,42,40
New York City,918,13,182,32,20,24,34,13,14,15,319,42,45
New York City,921,25,176,28,23,27,40,15,11,13,299,44,42
New York City,903,,209,24,12,24,23,12,15,24,301,32,45
New York City,924,22,211,33,21,34,15,19,,17,291,36,47
New York City,908,25,217,26,20,18,34,12,13,16,287,30,46
New York City,938,21,234,31,22,23,31,,15,18,305,35,42
New York City,948,19,205,40,10,25,24,19,10,16,314,37,42
New York City,903,16,211,27,12,25,28,15,15,17,282,42,44
New York City,975,16,210,22,19,22,23,16,17,21,294,36,73
New York City,975,17,240,32,17,33,22,17,14,20,282,41,62
New York City,977,21,251,30,17,39,17,,11,17,290,39,66
New York City,924,13,225,29,18,26,18,16,15,17,251,39,66
New York City,966,24,207,28,16,28,25,10,12,12,301,32,62
New York City,984,22,215,38,23,23,25,12,10,20,306,38,51
New York City,954,15,228,42,15,21,33,,,24,281,43,45
New York City,998,25,213,30,15,25,33,19,14,23,302,43,50
New York City,930,22,241,31,15,22,24,11,17,25,270,40,49
New York City,969,25,239,28,15,33,34,12,17,19,298,29,44
New York City,973,28,232,37,22,23,31,15,16,27,265,35,37
New York City,1014,28,241,39,16,27,22,10,13,35,321,32,52
New York City,1085,24,220,40,20,25,27,19,15,30,347,44,56
New York City,991,26,191,34,25,20,28,11,21,33,323,32,46
New York City,1015,10,197,45,23,24,34,10,16,32,324,53,64
New York City,971,24,202,43,20,21,37,19,17,32,281,46,60
New York City,1013,19,216,30,19,40,28,11,15,37,297,42,71
New York City,1050,20,234,26,15,31,24,14,23,40,321,38,60
New York City,1186,25,228,46,21,37,29,16,21,47,344,42,78
New York City,1163,23,192,46,21,52,31,17,17,76,344,46,87
New York City,1145,21,225,43,14,42,28,13,18,79,344,45,88
New York City,1220,19,222,33,14,54,36,16,17,87,372,48,102
New York City,1223,18,241,38,22,58,35,24,17,85,334,48,109
New York City,1276,30,216,47,10,40,43,22,16,124,360,45,107
New York City,1306,34,239,35,23,57,29,12,14,110,359,42,112
New York City,1146,21,209,53,24,39,44,12,13,86,323,32,98
New York City,1062,19,196,29,16,28,35,17,,85,312,45,82
New York City,1080,18,215,32,27,27,23,13,15,86,307,40,83
New York City,1085,12,209,38,19,23,34,,13,108,315,47,66
New York City,1099,22,227,44,20,29,30,18,13,95,338,33,49
New York City,1106,20,213,37,21,33,28,12,18,104,305,42,46
New York City,1043,19,228,34,20,33,29,12,21,130,274,25,28
New York City,1001,24,218,24,12,31,29,13,16,112,282,47,23
New York City,987,27,195,32,16,31,25,13,18,108,269,36,32
New York City,1046,17,226,33,25,35,32,19,17,89,290,43,18
New York City,998,19,209,30,14,33,31,,16,95,302,38,14
New York City,902,12,179,24,11,18,31,16,10,100,277,39,19
North Carolina,1835,37,378,64,90,44,137,36,56,22,415,102,0
North Carolina,1803,30,401,57,98,58,119,39,39,13,374,106,0
North Carolina,1759,30,404,59,86,51,135,31,26,13,361,103,0
North Carolina,1809,28,420,60,80,48,120,38,51,18,397,119,0
North Carolina,1815,41,381,55,106,50,122,34,25,,393,120,0
North Carolina,1848,32,416,65,106,54,119,39,49,12,413,118,0
North Carolina,1883,34,399,54,89,76,129,33,53,10,384,127,0
North Carolina,1780,33,404,64,92,68,116,25,41,17,381,118,
North Carolina,1803,38,399,60,95,64,118,37,39,16,389,107,0
North Carolina,1826,34,397,58,102,51,117,30,42,12,409,113,
North Carolina,1848,34,417,65,93,44,115,35,40,17,423,109,
North Carolina,1841,30,386,67,105,50,111,39,47,,405,108,
North Carolina,1692,22,336,72,88,65,94,33,41,10,368,105,12
North Carolina,1852,48,391,63,93,56,112,29,33,20,407,105,44
North Carolina,1829,45,373,62,89,48,106,39,33,14,401,101,61
North Carolina,1834,17,335,70,107,28,121,24,43,19,375,116,138
North Carolina,1925,28,409,72,108,41,101,33,48,20,380,111,121
North Carolina,1756,28,354,64,82,31,92,26,38,16,377,92,120
North Carolina,1830,31,362,74,92,30,90,28,36,22,382,107,119
North Carolina,1822,22,409,65,83,22,85,23,31,19,394,100,103
North Carolina,1862,22,393,66,97,35,106,37,33,,400,101,109
North Carolina,1792,37,343,60,90,31,81,35,42,19,383,82,161
North Carolina,1765,32,377,62,94,22,108,23,45,17,318,104,128
North Carolina,1681,24,371,43,83,22,78,37,37,13,363,86,112
North Carolina,1745,26,350,64,72,24,91,35,40,20,391,110,102
North Carolina,1729,32,366,66,88,22,76,33,41,17,393,97,104
North Carolina,1803,22,409,83,91,21,84,33,36,15,410,100,104
North Carolina,1762,28,331,56,91,31,80,31,36,18,355,112,130
North Carolina,1779,21,378,71,79,17,88,21,52,23,386,112,154
North Carolina,1943,33,386,89,80,20,85,24,39,26,382,132,187
North Carolina,1861,26,360,73,92,19,88,29,27,13,378,108,214
North Carolina,1860,39,379,61,95,32,73,26,37,15,411,112,193
North Carolina,1943,30,408,72,99,30,76,30,44,10,372,103,213
North Carolina,1899,37,416,68,83,18,96,34,44,18,357,100,215
North Carolina,1890,29,382,71,86,24,85,32,41,17,379,111,192
North Carolina,1949,33,397,74,95,30,96,36,36,17,396,129,212
North Carolina,1934,31,396,71,79,16,97,29,30,13,398,107,204
North Carolina,2062,34,417,88,82,29,99,25,39,15,435,115,229
North Carolina,1901,37,366,65,94,24,106,33,38,19,363,116,203
North Carolina,1839,22,406,77,80,23,98,24,39,14,353,103,192
North Carolina,1937,26,408,64,78,38,87,29,38,16,367,114,209
North Carolina,1943,38,383,63,81,22,98,23,43,30,372,114,216
North Carolina,1938,33,396,79,75,19,106,35,36,23,393,118,218
North Carolina,1983,27,399,78,81,24,83,32,32,18,389,102,273
North Carolina,2168,33,405,75,93,32,105,42,60,11,454,121,292
North Carolina,2024,27,396,70,84,32,93,29,52,19,361,114,287
North Carolina,1998,27,383,60,65,21,79,25,39,20,418,124,283
North Carolina,2116,23,391,77,98,28,108,31,45,20,410,102,329
North Carolina,2177,33,360,82,90,28,87,27,42,30,437,121,368
North Carolina,2280,43,380,77,78,46,107,40,38,23,428,116,487
North Carolina,2417,36,389,80,118,33,100,47,44,24,434,115,593
North Carolina,2451,29,374,67,94,36,78,27,42,39,458,113,624
North Carolina,2644,32,424,95,108,30,96,29,46,23,412,132,758
North Carolina,2724,29,383,79,117,37,103,35,38,24,478,116,812
North Carolina,2810,38,388,78,114,29,105,38,56,20,461,147,904
North Carolina,2759,46,370,95,115,21,106,33,51,31,434,127,882
North Carolina,2724,36,413,81,101,18,95,34,60,22,491,132,766
North Carolina,2436,41,399,71,112,33,83,34,46,19,430,124,602
North Carolina,2312,34,378,70,87,29,102,32,45,21,420,132,511
North Carolina,2239,25,409,77,87,37,93,34,52,12,467,117,367
North Carolina,2034,22,381,68,82,25,80,32,54,20,400,116,286
North Carolina,1940,26,420,70,81,35,85,31,35,22,415,115,193
North Carolina,1860,27,387,65,88,31,84,32,41,18,401,105,156
North Carolina,1805,29,358,67,67,25,87,31,55,22,413,101,139
North Carolina,1834,38,407,71,86,24,74,30,49,20,385,108,129
North Carolina,1746,27,364,77,67,32,79,30,43,21,360,100,119
North Carolina,1880,34,397,91,93,25,93,33,43,15,368,107,109
North Carolina,1742,22,367,78,67,26,76,28,48,25,389,113,109
North Carolina,1811,23,401,77,74,22,83,28,38,23,386,125,124
North Carolina,1859,14,417,85,68,26,73,29,35,17,411,106,121
North Carolina,1890,22,408,79,83,30,88,26,39,19,419,110,140
North Carolina,1786,27,415,78,70,21,84,32,42,16,377,92,118
North Carolina,1770,32,351,78,78,23,83,28,44,23,372,105,121
North Carolina,1855,35,411,70,69,23,109,37,49,27,400,103,107
North Carolina,1793,34,403,66,68,27,95,38,36,26,384,86,76
North Carolina,1724,36,381,66,75,18,74,27,45,29,416,90,69
North Carolina,1738,26,413,75,57,30,88,37,40,19,391,97,52
North Carolina,1696,42,363,85,67,23,71,43,47,21,349,89,63
North Carolina,1676,32,383,72,93,18,72,24,30,20,387,110,42
North Carolina,1717,34,370,72,62,22,105,28,32,21,401,82,41
North Carolina,1748,21,394,64,76,20,102,23,27,18,394,100,55
North Carolina,1817,33,362,64,67,25,105,30,32,19,408,120,79
North Carolina,1785,40,393,52,76,25,71,35,44,15,377,103,125
North Carolina,1973,43,430,69,91,33,84,35,38,29,417,93,175
North Carolina,1999,29,407,67,68,33,77,33,46,28,394,95,268
North Carolina,2188,28,404,79,70,23,92,34,42,27,408,95,424
North Carolina,2336,28,381,80,80,31,83,42,46,30,433,101,518
North Carolina,2464,30,402,86,83,35,85,41,45,27,435,98,637
North Carolina,2385,27,401,81,74,36,91,32,42,26,421,121,620
North Carolina,2491,36,409,63,95,33,106,41,50,17,434,120,660
North Carolina,2334,30,363,81,65,32,97,35,42,25,427,105,603
North Carolina,2300,36,383,84,88,39,85,29,43,26,438,127,527
North Carolina,2227,28,396,67,84,40,92,34,31,29,404,106,463
North Carolina,2176,42,423,72,75,32,102,35,48,24,391,91,371
North Carolina,2093,33,393,68,87,24,89,18,38,21,380,117,351
North Carolina,2035,35,374,85,80,33,93,24,39,26,416,124,259
North Carolina,1991,38,392,78,77,23,93,34,42,21,391,118,207
North Carolina,2020,33,425,85,80,35,100,35,34,29,412,101,147
North Carolina,1930,36,381,73,86,55,88,29,41,25,393,105,143
North Carolina,2061,43,414,83,88,40,104,45,49,23,396,117,154
North Carolina,2144,33,385,78,85,30,102,43,46,30,496,121,157
North Carolina,2161,49,406,91,102,35,105,40,41,34,422,103,204
North Carolina,2058,29,372,77,85,32,111,26,39,30,451,113,227
North Carolina,2183,31,387,90,85,42,104,39,59,34,443,138,256
North Carolina,2158,38,400,80,82,48,97,39,54,29,445,105,250
North Carolina,2181,23,356,73,83,33,113,35,56,29,448,105,395
North Carolina,2523,40,416,104,82,37,94,38,51,21,481,132,532
North Carolina,2539,30,411,100,119,30,89,41,51,23,497,121,576
North Carolina,2862,23,411,117,110,31,128,34,41,28,518,136,764
North Carolina,2567,31,390,91,101,22,108,26,51,15,472,119,690
North Carolina,2381,25,380,74,108,26,95,34,44,19,397,133,627
North Carolina,2138,28,349,81,77,27,96,27,54,16,415,116,463
North Carolina,1946,26,342,67,68,27,87,34,48,21,391,102,315
North Carolina,1953,33,374,72,95,23,97,43,53,16,388,110,218
North Carolina,1815,27,359,74,78,20,102,32,46,23,355,109,188
North Carolina,1734,26,336,61,83,19,89,30,32,20,380,106,127
North Carolina,1650,24,380,57,67,17,98,34,44,19,366,108,85
North Carolina,1725,28,412,64,71,20,87,35,31,23,371,116,61
North Carolina,1643,25,355,69,87,22,94,36,43,21,349,104,47
North Carolina,1642,37,374,60,65,19,117,32,43,33,347,99,53
North Carolina,1700,27,365,64,75,20,103,24,46,21,402,101,32
North Carolina,1845,40,409,70,86,23,98,34,37,22,408,138,42
North Carolina,1728,18,374,65,87,19,93,36,31,20,370,126,39
North Carolina,1692,24,400,66,54,21,81,28,35,29,400,93,46
North Carolina,1855,29,424,67,70,21,97,41,41,29,423,104,57
North Carolina,1764,31,382,63,76,19,69,31,42,17,377,141,68
North Carolina,1771,25,391,57,72,20,96,34,46,19,415,90,74
North Carolina,1827,21,424,56,78,30,87,31,41,25,404,89,79
North Carolina,1756,20,398,59,71,17,82,25,40,26,417,114,74
North Carolina,1864,27,408,75,66,23,106,32,41,19,422,105,89
North Carolina,1750,25,376,80,77,21,98,39,33,21,391,96,78
North Carolina,1818,35,402,68,70,20,95,34,33,25,383,121,89
North Carolina,1747,28,373,65,70,21,87,32,41,26,387,98,86
North Carolina,1791,31,383,63,85,16,91,26,35,24,391,118,118
North Carolina,1831,34,422,67,73,25,102,35,40,15,388,115,106
North Carolina,1801,28,349,63,92,25,101,32,31,41,365,134,114
North Carolina,1829,17,386,65,66,24,94,34,37,43,387,118,107
North Carolina,1829,32,391,59,76,19,98,36,36,26,362,123,115
North Carolina,1830,20,390,77,80,26,79,28,40,38,398,119,116
